Unnamed: 0,question,answer,Question_Sentiment,Answer_Sentiment
0,"hi, how are you doing?",i'm fine. how about yourself?,0.0,0.4166666666666667
1,i'm fine. how about yourself?,i'm pretty good. thanks for asking.,0.4166666666666667,0.3833333333333333
2,i'm pretty good. thanks for asking.,no problem. so how have you been?,0.3833333333333333,0.0
3,no problem. so how have you been?,i've been great. what about you?,0.0,0.8
4,i've been great. what about you?,i've been good. i'm in school right now.,0.8,0.4928571428571428
5,i've been good. i'm in school right now.,what school do you go to?,0.4928571428571428,0.0
6,what school do you go to?,i go to pcc.,0.0,0.0
7,i go to pcc.,do you like it there?,0.0,0.0
8,do you like it there?,it's okay. it's a really big campus.,0.0,0.25
9,it's okay. it's a really big campus.,good luck with school.,0.25,0.7
10,good luck with school.,thank you very much.,0.7,0.26
11,how's it going?,i'm doing well. how about you?,0.0,0.0
12,i'm doing well. how about you?,"never better, thanks.",0.0,-0.024999999999999994
13,"never better, thanks.",so how have you been lately?,-0.024999999999999994,-0.3
14,so how have you been lately?,i've actually been pretty good. you?,-0.3,0.31666666666666665
15,i've actually been pretty good. you?,i'm actually in school right now.,0.31666666666666665,0.14285714285714285
16,i'm actually in school right now.,which school do you attend?,0.14285714285714285,0.0
17,which school do you attend?,i'm attending pcc right now.,0.0,0.2857142857142857
18,i'm attending pcc right now.,are you enjoying it there?,0.2857142857142857,0.5
19,are you enjoying it there?,it's not bad. there are a lot of people there.,0.5,0.3499999999999999
20,it's not bad. there are a lot of people there.,good luck with that.,0.3499999999999999,0.7
21,good luck with that.,thanks.,0.7,0.2
22,how are you doing today?,i'm doing great. what about you?,0.0,0.8
23,i'm doing great. what about you?,"i'm absolutely lovely, thank you.",0.8,0.5
24,"i'm absolutely lovely, thank you.",everything's been good with you?,0.5,0.7
25,everything's been good with you?,i haven't been better. how about yourself?,0.7,0.5
26,i haven't been better. how about yourself?,i started school recently.,0.5,0.0
27,i started school recently.,where are you going to school?,0.0,0.0
28,where are you going to school?,i'm going to pcc.,0.0,0.0
29,i'm going to pcc.,how do you like it so far?,0.0,0.1
30,how do you like it so far?,i like it so far. my classes are pretty good right now.,0.1,0.33392857142857135
31,i like it so far. my classes are pretty good right now.,i wish you luck.,0.33392857142857135,0.0
32,it's an ugly day today.,i know. i think it may rain.,-0.7,0.0
33,i know. i think it may rain.,"it's the middle of summer, it shouldn't rain today.",0.0,0.0
34,"it's the middle of summer, it shouldn't rain today.",that would be weird.,0.0,-0.5
35,that would be weird.,"yeah, especially since it's ninety degrees outside.",-0.5,0.0
36,"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside.",0.0,-0.25
37,"i know, it would be horrible if it rained and it was hot outside.","yes, it would be. ",-0.25,0.0
38,"yes, it would be. ",i really wish it wasn't so hot every day. ,0.0,0.225
39,i really wish it wasn't so hot every day. ,me too. i can't wait until winter.,0.225,0.0
40,me too. i can't wait until winter.,"i like winter too, but sometimes it gets too cold.",0.0,-0.6
41,"i like winter too, but sometimes it gets too cold.",i'd rather be cold than hot.,-0.6,-0.175
42,i'd rather be cold than hot.,me too.,-0.175,0.0
43,it doesn't look very nice outside today.,you're right. i think it's going to rain later.,0.39,0.14285714285714285
44,you're right. i think it's going to rain later.,"in the middle of the summer, it shouldn't be raining.",0.14285714285714285,0.0
45,"in the middle of the summer, it shouldn't be raining.",that wouldn't seem right.,0.0,0.2857142857142857
46,that wouldn't seem right.,"considering that it's over ninety degrees outside, that would be weird.",0.2857142857142857,-0.25
47,"considering that it's over ninety degrees outside, that would be weird.","exactly, it wouldn't be nice if it started raining. it's too hot.",-0.25,0.3666666666666667
48,"exactly, it wouldn't be nice if it started raining. it's too hot.","i know, you're absolutely right.",0.3666666666666667,0.2857142857142857
49,"i know, you're absolutely right.",i wish it would cool off one day.,0.2857142857142857,0.35
50,i wish it would cool off one day.,"that's how i feel, i want winter to come soon.",0.35,0.0
51,"that's how i feel, i want winter to come soon.","i enjoy the winter, but it gets really cold sometimes.",0.0,-0.09999999999999998
52,"i enjoy the winter, but it gets really cold sometimes.","i know what you mean, but i'd rather be cold than hot.",-0.09999999999999998,-0.22083333333333333
53,"i know what you mean, but i'd rather be cold than hot.",that's exactly how i feel.,-0.22083333333333333,0.25
54,i wish it was a nicer day today.,that is true. i hope it doesn't rain.,0.0,0.35
55,that is true. i hope it doesn't rain.,it wouldn't rain in the middle of the summer.,0.35,0.0
56,it wouldn't rain in the middle of the summer.,it wouldn't seem right if it started raining right now.,0.0,0.2857142857142857
57,it wouldn't seem right if it started raining right now.,it would be weird if it started raining in ninety degree weather.,0.2857142857142857,-0.5
58,it would be weird if it started raining in ninety degree weather.,any rain right now would be pointless.,-0.5,0.01785714285714285
59,any rain right now would be pointless.,"that's right, it really would be.",0.01785714285714285,0.24285714285714285
60,"that's right, it really would be.",i want it to cool down some.,0.24285714285714285,0.0972222222222222
61,i want it to cool down some.,"i know what you mean, i can't wait until it's winter.",0.0972222222222222,-0.3125
62,"i know what you mean, i can't wait until it's winter.",winter is great. i wish it didn't get so cold sometimes though.,-0.3125,0.10000000000000003
63,winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer.,0.10000000000000003,0.0
64,it's such a nice day.,"yes, it is.",0.3,0.0
65,"yes, it is.",it looks like it may rain soon.,0.0,0.0
66,it looks like it may rain soon.,"yes, and i hope that it does.",0.0,0.0
67,"yes, and i hope that it does.",why is that?,0.0,0.0
68,why is that?,i really love how rain clears the air.,0.0,0.5
69,i really love how rain clears the air.,me too. it always smells so fresh after it rains.,0.5,0.3
70,me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains.",0.3,0.5
71,"yes, but i love the night air after it rains.",really? why is it?,0.5,0.2
72,really? why is it?,because you can see the stars perfectly.,0.2,1.0
73,because you can see the stars perfectly.,i really hope it rains today.,1.0,0.2
74,i really hope it rains today.,"yeah, me too.",0.2,0.0
75,isn't it a nice day?,it really is.,0.6,0.2
76,it really is.,it seems that it may rain today.,0.2,0.0
77,it seems that it may rain today.,hopefully it will.,0.0,0.0
78,hopefully it will.,how come?,0.0,0.0
79,how come?,i like how clear the sky gets after it rains.,0.0,0.10000000000000002
80,i like how clear the sky gets after it rains.,i feel the same way. it smells so good after it rains.,0.10000000000000002,0.35
81,i feel the same way. it smells so good after it rains.,i especially love the night air when it rains.,0.35,1.0
82,i especially love the night air when it rains.,really? why?,1.0,0.2
83,really? why?,the stars look so much closer after it rains.,0.2,0.2
84,the stars look so much closer after it rains.,i really want it to rain today.,0.2,0.2
85,i really want it to rain today.,"yeah, so do i.",0.2,0.0
86,don't you think it's nice out?,"yes, i think so too.",0.6,0.0
87,"yes, i think so too.",i think that it's going to rain.,0.0,0.0
88,i think that it's going to rain.,i hope that it does rain.,0.0,0.0
89,i hope that it does rain.,you like the rain?,0.0,0.0
90,you like the rain?,the sky looks so clean after it rains. i love it.,0.0,0.43333333333333335
91,the sky looks so clean after it rains. i love it.,i understand. rain does make it smell cleaner.,0.43333333333333335,0.0
92,i understand. rain does make it smell cleaner.,i love most how it is at night after it rains.,0.0,0.5
93,i love most how it is at night after it rains.,how come?,0.5,0.0
94,how come?,you can see the stars so much more clearly after it rains.,0.0,0.3
95,you can see the stars so much more clearly after it rains.,i would love for it to rain today.,0.3,0.5
96,i really want to go to the beach this weekend.,that sounds like fun. what's the weather going to be like?,0.2,0.3
97,that sounds like fun. what's the weather going to be like?,i heard that it's going to be warm this weekend.,0.3,0.6
98,i heard that it's going to be warm this weekend.,is it going to be perfect beach weather?,0.6,1.0
99,is it going to be perfect beach weather?,i believe so.,1.0,0.0
100,i believe so.,good. i hope it doesn't cool off this weekend.,0.0,0.5249999999999999
101,good. i hope it doesn't cool off this weekend.,i know. i really want to go to the beach.,0.5249999999999999,0.2
102,i know. i really want to go to the beach.,but you know that california weather is really unpredictable.,0.2,-0.16666666666666666
103,but you know that california weather is really unpredictable.,"you're right. one minute it's hot, and then the next minute it's cold.",-0.16666666666666666,-0.01607142857142857
104,"you're right. one minute it's hot, and then the next minute it's cold.",i really wish the weather would just stay the same.,-0.01607142857142857,0.1
105,i really wish the weather would just stay the same.,i do too. that way we can have our activities planned ahead of time.,0.1,0.0
106,i do too. that way we can have our activities planned ahead of time.,"yeah, that would make things a lot easier.",0.0,0.0
107,i would like to take a trip to the beach this weekend.,a trip to the beach would be fun. how is the weather going to be?,0.0,0.3
108,a trip to the beach would be fun. how is the weather going to be?,the forecast says that it will be warm on the weekend.,0.3,0.6
109,the forecast says that it will be warm on the weekend.,so do you think it'll be perfect weather for the beach?,0.6,1.0
110,so do you think it'll be perfect weather for the beach?,it sounds like it will be.,1.0,0.0
111,it sounds like it will be.,i really hope it doesn't get cold.,0.0,-0.19999999999999998
112,i really hope it doesn't get cold.,"that would ruin things, i want to go so badly.",-0.19999999999999998,-0.6999999999999998
113,"that would ruin things, i want to go so badly.","the weather in california is unpredictable, so you never know.",-0.6999999999999998,-0.16666666666666666
114,"the weather in california is unpredictable, so you never know.",that is true. the weather is constantly changing.,-0.16666666666666666,0.175
115,that is true. the weather is constantly changing.,it would be nice if the weather would never change.,0.175,0.6
116,it would be nice if the weather would never change.,"that would be great, then we could plan things sooner.",0.6,0.8
117,"that would be great, then we could plan things sooner.",true. predictable weather would make life easier.,0.8,0.07499999999999998
118,it would be nice to go to the beach sometime this weekend.,what's the weather going to be like? i may want to go too.,0.6,0.0
119,what's the weather going to be like? i may want to go too.,the weather this weekend is supposed to be warm.,0.0,0.6
120,the weather this weekend is supposed to be warm.,will it be good beach weather?,0.6,0.7
121,will it be good beach weather?,i think it will be.,0.7,0.0
122,i think it will be.,it wouldn't be good if it got cold this weekend.,0.0,0.04999999999999999
123,it wouldn't be good if it got cold this weekend.,"i want this trip to be perfect, i hope it stays warm.",0.04999999999999999,0.8
124,"i want this trip to be perfect, i hope it stays warm.","this california weather is so uncertain, it's impossible to know what'll happen.",0.8,-0.6666666666666666
125,"this california weather is so uncertain, it's impossible to know what'll happen.",i know. every day the weather seems different.,-0.6666666666666666,0.0
126,i know. every day the weather seems different.,i would love it if it wasn't always so unpredictable.,0.0,0.16666666666666669
127,i would love it if it wasn't always so unpredictable.,that would make it easier for us to make plans.,0.16666666666666669,0.0
128,"hello, may i speak to alice please?",this is she. how's it going?,0.0,0.0
129,this is she. how's it going?,i've been trying to call you all day.,0.0,0.0
130,i've been trying to call you all day.,sorry about that. i was cleaning up.,0.0,-0.5
131,sorry about that. i was cleaning up.,it's okay.,-0.5,0.5
132,it's okay.,so what were you calling me about?,0.5,0.0
133,so what were you calling me about?,"oh, i just wanted to see if you wanted to hang out tomorrow.",0.0,0.0
134,"oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?",0.0,0.5
135,"sure, what did you want to do?",maybe we can go see a movie or something.,0.5,0.0
136,maybe we can go see a movie or something.,that sounds like fun. let's do it.,0.0,0.3
137,that sounds like fun. let's do it.,i'll see you tomorrow then.,0.3,0.0
138,i'll see you tomorrow then.,see you then. goodbye.,0.0,0.0
139,"hi, how are you. is alice there?",speaking. what's up?,0.0,0.0
140,speaking. what's up?,why haven't you answered the phone?,0.0,0.0
141,why haven't you answered the phone?,"my bad, i had chores to do.",0.0,-0.6999999999999998
142,"my bad, i had chores to do.",that's all right.,-0.6999999999999998,0.2857142857142857
143,that's all right.,what was the reason for your call?,0.2857142857142857,0.0
144,what was the reason for your call?,i want to do something tomorrow with you.,0.0,0.0
145,i want to do something tomorrow with you.,sounds good. what did you have in mind?,0.0,0.7
146,sounds good. what did you have in mind?,i was thinking about seeing a movie.,0.7,0.0
147,i was thinking about seeing a movie.,"okay, let's go see a movie.",0.0,0.5
148,"okay, let's go see a movie.",until then.,0.5,0.0
149,until then.,talk to you later.,0.0,0.0
150,is alice available?,you're talking to her.,0.4,0.0
151,you're talking to her.,i've called you a hundred times today.,0.0,0.0
152,i've called you a hundred times today.,i was busy doing something. i apologize.,0.0,0.1
153,i was busy doing something. i apologize.,no problem.,0.1,0.0
154,no problem.,did you need something?,0.0,0.0
155,did you need something?,do you want to do something tomorrow?,0.0,0.0
156,do you want to do something tomorrow?,is there somewhere special you wanted to go?,0.0,0.35714285714285715
157,is there somewhere special you wanted to go?,how about a movie?,0.35714285714285715,0.0
158,how about a movie?,a movie sounds good.,0.0,0.7
159,a movie sounds good.,call me tomorrow then.,0.7,0.0
160,have you seen the new girl in school?,"no, i haven't.",0.13636363636363635,0.0
161,"no, i haven't.",she's really pretty.,0.0,0.25
162,she's really pretty.,describe her to me.,0.25,0.0
163,describe her to me.,she's not too tall.,0.0,0.0
164,she's not too tall.,"well, how tall is she?",0.0,0.0
165,"well, how tall is she?",she's about five feet even.,0.0,0.0
166,she's about five feet even.,"what does she look like, though?",0.0,0.0
167,"what does she look like, though?",she has pretty light brown eyes.,0.0,0.325
168,she has pretty light brown eyes.,i may know which girl you're talking about.,0.325,0.0
169,i may know which girl you're talking about.,so you have seen her around?,0.0,0.0
170,so you have seen her around?,"yes, i have.",0.0,0.0
171,"there's a new girl in school, have you seen her yet?",i haven't seen her yet.,0.13636363636363635,0.0
172,i haven't seen her yet.,i think that she is very pretty.,0.0,0.325
173,i think that she is very pretty.,tell me how she looks.,0.325,0.0
174,tell me how she looks.,she's kind of short.,0.0,0.3
175,she's kind of short.,what height is she?,0.3,0.0
176,what height is she?,she's probably about five feet.,0.0,0.0
177,she's probably about five feet.,"that's nice, but tell me what she looks like.",0.0,0.6
178,"that's nice, but tell me what she looks like.",the first thing i noticed was her beautiful brown eyes.,0.6,0.55
179,the first thing i noticed was her beautiful brown eyes.,i think i might've bumped into her before.,0.55,0.0
180,i think i might've bumped into her before.,are you telling me that you've seen her before?,0.0,0.0
181,are you telling me that you've seen her before?,i believe so.,0.0,0.0
